fecha;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2014-03-28;19.39;17.25;14.54;14.13;14.27;13.66;13.42;14.35;20.36;28.94;28.23;28.75;27.94;26.74;27.61;26.94;30.16;27.44;25.2;24.56;24.99;25.98;25.81;24.53
2014-03-29;20.59;17.48;16.19;16.96;14.46;14.23;22.24;28.01;30.91;36.54;47.77;36.79;32.0;32.54;29.43;30.12;30.85;27.23;26.53;24.65;23.29;24.47;24.16;22.41
2014-03-31;20.22;18.18;14.07;14.27;14.22;13.53;13.59;13.94;19.02;26.12;27.74;30.21;34.36;32.13;29.63;28.21;29.69;27.45;25.08;22.23;23.01;25.23;26.62;24.75
2014-04-01;20.54;18.06;14.89;13.57;14.57;14.66;14.39;14.53;18.52;26.26;29.86;32.16;32.63;28.89;31.33;31.49;33.29;33.6;25.74;21.97;23.54;25.7;26.06;24.35
2014-04-02;20.52;17.26;13.95;13.46;13.92;13.51;13.5;14.58;18.82;29.64;30.71;31.41;34.3;29.57;29.72;30.93;32.01;29.6;23.05;21.34;22.71;25.13;24.73;24.31
2014-04-03;22.04;17.48;14.29;13.49;13.2;13.35;13.57;14.03;18.73;26.79;27.54;29.35;27.02;26.81;25.2;25.6;28.34;25.3;22.2;22.18;23.21;25.78;25.2;26.24
2014-04-04;20.56;18.07;15.29;13.96;13.6;13.64;14.11;14.51;18.36;26.66;28.78;31.5;28.75;27.52;27.55;26.45;29.98;27.81;24.82;24.21;26.69;26.13;26.12;25.0
2014-04-05;21.67;19.18;17.05;15.93;15.5;14.76;14.11;13.98;16.15;21.46;28.57;34.43;35.67;34.41;31.44;30.52;33.09;31.44;27.0;26.94;26.98;28.11;27.74;27.0
2014-04-06;25.18;20.66;17.4;15.93;15.62;14.96;14.99;14.74;16.0;18.06;21.64;27.06;33.91;36.04;35.24;34.53;31.99;30.98;28.18;25.74;24.63;25.81;24.36;25.56
2014-04-07;25.14;22.37;18.54;14.37;14.06;13.91;13.34;13.63;14.27;19.41;27.89;30.8;33.25;32.32;31.03;29.41;29.83;29.07;27.54;24.59;23.89;25.57;25.8;27.04
2014-04-08;26.25;21.39;17.68;13.92;13.63;13.57;13.02;13.53;13.65;18.44;27.86;28.26;28.64;26.21;25.38;25.59;26.01;28.43;26.94;25.39;24.29;26.04;28.75;28.89
2014-04-09;26.28;21.82;18.15;14.17;12.96;13.55;13.54;13.92;14.91;19.32;28.72;28.21;29.43;30.63;28.35;26.87;28.33;28.86;28.26;24.1;24.32;25.55;27.67;27.69
2014-04-10;25.59;21.07;18.17;15.21;13.77;13.89;13.51;14.15;14.46;19.97;29.28;28.88;27.67;26.6;26.11;25.23;27.62;28.5;26.1;23.76;23.56;24.51;26.97;27.7
